epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,2774.35,0.93174,0.62207,1.16344,0.92313,0.91759,0.93583,0.66333,1.09703,0.56283,1.31428,0.000258718,0.000258718,0.000258718
130,2796.2,0.92559,0.59552,1.17039,0.92707,0.91299,0.94459,0.66266,1.13105,0.5405,1.3244,0.000247716,0.000247716,0.000247716
131,2816.01,0.9074,0.58073,1.16272,0.91336,0.92675,0.94481,0.66593,1.10609,0.52854,1.31359,0.000236714,0.000236714,0.000236714
132,2836.8,0.91641,0.60558,1.16131,0.91266,0.92408,0.94743,0.66642,1.09798,0.52631,1.31325,0.000225712,0.000225712,0.000225712
133,2858.11,0.92347,0.59209,1.16109,0.9225,0.91238,0.93428,0.66256,1.10032,0.56589,1.31847,0.00021471,0.00021471,0.00021471
134,2879.55,0.91521,0.60679,1.16737,0.92896,0.91268,0.94009,0.64981,1.14573,0.55602,1.33416,0.000203707,0.000203707,0.000203707
135,2900.54,0.90969,0.60662,1.1633,0.92376,0.91789,0.94477,0.66615,1.10005,0.53543,1.316,0.000192705,0.000192705,0.000192705
136,2921.78,0.91604,0.59824,1.14752,0.94035,0.91238,0.93979,0.65615,1.13546,0.55733,1.33307,0.000181703,0.000181703,0.000181703
137,2942.34,0.91712,0.59726,1.15909,0.92452,0.91742,0.94694,0.67074,1.10692,0.51053,1.32048,0.000170701,0.000170701,0.000170701
138,2963.54,0.91271,0.60031,1.16417,0.93119,0.91599,0.93711,0.65822,1.11728,0.53474,1.3262,0.000159699,0.000159699,0.000159699
139,2985.32,0.89573,0.60779,1.16172,0.93096,0.91268,0.93594,0.66908,1.08903,0.54587,1.30585,0.000148696,0.000148696,0.000148696
140,3006.73,0.91895,0.58016,1.16507,0.93026,0.91268,0.94102,0.66245,1.09848,0.53907,1.31494,0.000137694,0.000137694,0.000137694
141,3032.09,0.81882,0.36146,1.14619,0.92542,0.91732,0.93738,0.6601,1.10873,0.53909,1.31996,0.000126692,0.000126692,0.000126692
142,3053.17,0.82036,0.35643,1.14682,0.92033,0.91655,0.93338,0.66106,1.11366,0.54501,1.31823,0.00011569,0.00011569,0.00011569
143,3071.54,0.79336,0.33944,1.1434,0.91984,0.91691,0.93891,0.66084,1.12062,0.53365,1.32742,0.000104688,0.000104688,0.000104688
144,3089.19,0.79984,0.33415,1.14635,0.92001,0.91789,0.9331,0.65558,1.11694,0.53154,1.32614,9.36854e-05,9.36854e-05,9.36854e-05
145,3106.78,0.77515,0.33389,1.1293,0.92103,0.91581,0.9293,0.65738,1.11653,0.53442,1.32485,8.26832e-05,8.26832e-05,8.26832e-05
146,3125.06,0.78369,0.33285,1.14774,0.90644,0.93781,0.93186,0.6581,1.09555,0.55464,1.31423,7.1681e-05,7.1681e-05,7.1681e-05
147,3143.68,0.80831,0.35531,1.16792,0.90867,0.92456,0.92953,0.66371,1.09233,0.54041,1.31617,6.06788e-05,6.06788e-05,6.06788e-05
148,3161.9,0.7739,0.32758,1.1181,0.9223,0.91177,0.92534,0.6553,1.09269,0.54231,1.31942,4.96766e-05,4.96766e-05,4.96766e-05
149,3179.59,0.78845,0.32729,1.13556,0.91389,0.92483,0.92633,0.65937,1.09155,0.53758,1.32092,3.86744e-05,3.86744e-05,3.86744e-05
